ticket_id,created_at,category,channel,customer_tier,agent,priority,first_response_min,resolution_hours,sla_target_hours,sla_breached,escalated,csat_score,resolution_outcome
TCK-101507,2024-07-04 01:30:00,Login/Authentication,Portal,Free,Agent_02,High,76.1,0.22,24,False,True,3,Resolved - Escalated
TCK-100410,2024-07-04 08:21:00,Bug/Error,Portal,Pro,Agent_10,High,59.5,4.16,24,False,False,4,Resolved
TCK-100884,2024-07-04 09:02:00,Data Export/Import,Portal,Enterprise,Agent_12,Medium,106.5,3.13,72,False,False,5,Resolved
TCK-101752,2024-07-04 15:57:00,Bug/Error,Email,Enterprise,Agent_09,Medium,13.3,4.62,72,False,False,3,Resolved
TCK-102404,2024-07-04 19:31:00,Login/Authentication,Portal,Pro,Agent_07,High,7.6,0.36,24,False,False,5,Resolved
TCK-100590,2024-07-05 02:08:00,Billing/Invoicing,Portal,Free,Agent_02,Medium,190.7,0.71,72,False,False,4,Resolved
TCK-101614,2024-07-05 02:12:00,Login/Authentication,Portal,Pro,Agent_04,High,47.7,2.37,24,False,True,3,Unresolved - Pending Engineering
TCK-103272,2024-07-05 04:19:00,Data Export/Import,Email,Free,Agent_07,High,30.4,0.58,24,False,False,5,Resolved
TCK-100624,2024-07-05 06:39:00,Login/Authentication,Email,Basic,Agent_05,Medium,14.1,1.48,72,False,False,4,Resolved
TCK-101054,2024-07-05 08:18:00,Billing/Invoicing,Chat,Free,Agent_09,Low,7.1,4.11,120,False,False,5,Resolved - Workaround
TCK-103279,2024-07-05 08:28:00,Bug/Error,Email,Pro,Agent_10,Medium,124.3,11.46,72,False,False,4,Resolved
TCK-100374,2024-07-05 13:22:00,Performance/Slowness,Email,Free,Agent_09,Medium,49.6,4.63,72,False,False,4,Resolved - Workaround
TCK-101396,2024-07-05 20:53:00,Login/Authentication,Phone,Basic,Agent_04,High,1.3,0.2,24,False,False,4,Resolved
TCK-103008,2024-07-05 21:45:00,Login/Authentication,Portal,Enterprise,Agent_09,High,20.1,0.71,24,False,False,4,Resolved
TCK-102412,2024-07-06 00:53:00,Login/Authentication,Chat,Free,Agent_07,Critical,1.3,0.26,4,False,False,5,Resolved
TCK-102838,2024-07-06 02:14:00,Performance/Slowness,Email,Free,Agent_05,High,49.7,0.1,24,False,False,2,Resolved
TCK-103002,2024-07-06 03:06:00,Data Export/Import,Email,Free,Agent_07,High,36.8,0.8,24,False,False,4,Resolved
TCK-102344,2024-07-06 09:12:00,Bug/Error,Portal,Free,Agent_09,Medium,63.8,6.68,72,False,True,3,Resolved - Escalated
TCK-101153,2024-07-06 11:37:00,Account Setup,Portal,Basic,Agent_05,High,88.1,2.52,24,False,False,5,Resolved - Workaround
TCK-100047,2024-07-06 12:46:00,Login/Authentication,Chat,Pro,Agent_12,Medium,2.0,6.06,72,False,False,3,Resolved
TCK-101679,2024-07-06 22:55:00,Account Setup,Portal,Enterprise,Agent_09,High,23.2,3.05,24,False,False,4,Resolved
TCK-102105,2024-07-06 23:47:00,Integration/API,Portal,Free,Agent_12,Medium,64.2,14.91,72,False,False,4,Resolved
TCK-102148,2024-07-07 02:54:00,Performance/Slowness,Portal,Free,Agent_07,Medium,52.0,5.27,72,False,True,2,Resolved - Escalated
TCK-101211,2024-07-07 14:19:00,Login/Authentication,Email,Free,Agent_09,High,95.3,11.98,24,False,False,4,Resolved
TCK-102854,2024-07-07 17:39:00,Bug/Error,Chat,Free,Agent_07,Low,51.1,42.6,120,False,False,4,Resolved
TCK-100974,2024-07-07 18:19:00,Bug/Error,Chat,Free,Agent_03,High,6.5,2.16,24,False,True,3,Resolved - Escalated
TCK-103406,2024-07-08 00:00:00,Bug/Error,Email,Free,Agent_04,Medium,7.8,10.25,72,False,True,2,Resolved - Escalated
TCK-103553,2024-07-08 00:00:00,Integration/API,Email,Free,Agent_12,Medium,86.7,14.47,72,False,True,2,Unresolved - Pending Engineering
TCK-103930,2024-07-08 00:00:00,Feature Request,Email,Basic,Agent_09,Low,1.0,26.88,120,False,False,3,Resolved
TCK-102266,2024-07-08 06:35:00,Feature Request,Email,Free,Agent_02,High,7.2,10.32,24,False,False,5,Resolved
TCK-103046,2024-07-08 08:16:00,Performance/Slowness,Portal,Free,Agent_04,Medium,48.0,31.79,72,False,False,4,Resolved
TCK-100811,2024-07-08 08:58:00,Bug/Error,Portal,Pro,Agent_03,Medium,167.6,19.58,72,False,False,4,Resolved
TCK-102313,2024-07-08 10:29:00,Bug/Error,Phone,Pro,Agent_07,Medium,1.2,6.92,72,False,True,3,Resolved - Escalated
TCK-101515,2024-07-08 12:39:00,Performance/Slowness,Email,Pro,Agent_01,Low,36.7,3.19,120,False,False,4,Resolved
TCK-102542,2024-07-08 12:55:00,Feature Request,Portal,Pro,Agent_12,Medium,52.6,8.69,72,False,False,4,Resolved - Workaround
TCK-100953,2024-07-08 14:58:00,Login/Authentication,Portal,Enterprise,Agent_05,High,12.9,0.3,24,False,False,5,Resolved
TCK-102999,2024-07-08 16:46:00,Bug/Error,Email,Basic,Agent_05,High,37.8,1.52,24,False,True,3,Resolved - Escalated
TCK-101809,2024-07-08 22:29:00,Bug/Error,Email,Pro,Agent_08,High,30.9,9.23,24,False,False,4,Resolved
TCK-103693,2024-07-09 00:00:00,Login/Authentication,Email,Free,Agent_04,High,33.1,8.38,24,False,False,3,Resolved - Workaround
TCK-103452,2024-07-09 00:00:00,Data Export/Import,Chat,Pro,Agent_11,High,1.0,2.19,24,False,False,4,Resolved
TCK-103331,2024-07-09 10:43:00,Login/Authentication,Portal,Pro,Agent_06,High,24.3,3.36,24,False,True,4,Resolved - Escalated
TCK-101579,2024-07-09 11:05:00,Bug/Error,Email,Basic,Agent_09,Critical,13.3,6.07,4,True,True,2,Resolved - Escalated
TCK-103117,2024-07-09 11:40:00,Billing/Invoicing,Email,Pro,Agent_05,High,8.3,3.71,24,False,False,4,Resolved
TCK-100197,2024-07-09 14:05:00,Integration/API,Email,Free,Agent_09,Low,1.0,6.31,120,False,False,4,Resolved
TCK-102422,2024-07-09 19:14:00,Integration/API,Email,Pro,Agent_05,Low,173.0,28.12,120,False,False,5,Resolved
TCK-101865,2024-07-09 23:55:00,Bug/Error,Email,Free,Agent_09,Low,130.0,11.25,120,False,False,4,Resolved
TCK-103652,2024-07-10 00:00:00,Bug/Error,Portal,Basic,Agent_07,High,10.7,5.65,24,False,True,3,Unresolved - Pending Engineering
TCK-101215,2024-07-10 01:57:00,Data Export/Import,Phone,Basic,Agent_10,Medium,3.8,1.07,72,False,False,4,Resolved
TCK-101577,2024-07-10 03:55:00,Billing/Invoicing,Portal,Pro,Agent_03,Medium,53.6,10.49,72,False,False,5,Resolved
TCK-103064,2024-07-10 05:51:00,Billing/Invoicing,Portal,Pro,Agent_04,Low,27.7,1.47,120,False,False,5,Resolved
TCK-102703,2024-07-10 07:49:00,Login/Authentication,Email,Basic,Agent_03,High,36.0,0.36,24,False,False,4,Resolved
TCK-101663,2024-07-10 07:55:00,Bug/Error,Email,Basic,Agent_03,High,7.3,25.19,24,True,False,4,Resolved
TCK-100236,2024-07-10 08:18:00,Billing/Invoicing,Chat,Basic,Agent_07,High,3.9,3.88,24,False,False,3,Resolved - Workaround
TCK-101596,2024-07-10 17:54:00,Bug/Error,Email,Pro,Agent_04,Medium,44.5,11.46,72,False,False,4,Resolved
TCK-102152,2024-07-10 19:48:00,Bug/Error,Chat,Pro,Agent_06,Medium,3.8,15.33,72,False,False,5,Resolved
TCK-103633,2024-07-11 00:00:00,Account Setup,Portal,Free,Agent_04,High,1.0,1.96,24,False,False,4,Resolved
TCK-103791,2024-07-11 00:00:00,Login/Authentication,Chat,Free,Agent_10,High,1.1,0.13,24,False,True,3,Unresolved - Pending Engineering
TCK-100776,2024-07-11 02:31:00,Login/Authentication,Email,Pro,Agent_06,Medium,162.1,0.81,72,False,False,4,Resolved
TCK-102674,2024-07-11 07:46:00,Data Export/Import,Chat,Free,Agent_12,Medium,6.5,11.91,72,False,False,5,Resolved
TCK-101435,2024-07-11 10:23:00,Integration/API,Chat,Enterprise,Agent_06,Medium,1.4,75.46,72,True,False,4,Resolved - Workaround
TCK-103092,2024-07-11 14:02:00,Feature Request,Chat,Pro,Agent_09,Medium,9.1,15.98,72,False,False,4,Resolved - Workaround
TCK-102761,2024-07-11 19:01:00,Bug/Error,Chat,Free,Agent_04,Low,1.0,128.51,120,True,False,3,Resolved
TCK-100979,2024-07-11 20:56:00,Login/Authentication,Email,Basic,Agent_01,Critical,15.1,3.06,4,False,False,4,Resolved
TCK-102837,2024-07-11 23:51:00,Billing/Invoicing,Email,Enterprise,Agent_01,High,34.7,1.58,24,False,False,4,Resolved - Workaround
TCK-103420,2024-07-12 00:00:00,Login/Authentication,Portal,Pro,Agent_09,Medium,20.1,0.33,72,False,False,4,Resolved - Workaround
TCK-103734,2024-07-12 00:00:00,Performance/Slowness,Phone,Basic,Agent_03,Medium,2.5,64.62,72,False,False,3,Resolved - Workaround
TCK-103015,2024-07-12 01:12:00,Integration/API,Email,Basic,Agent_12,Medium,83.3,5.8,72,False,True,4,Resolved - Escalated
TCK-101561,2024-07-12 05:24:00,Bug/Error,Phone,Basic,Agent_02,High,4.6,1.69,24,False,True,3,Resolved - Escalated
TCK-100815,2024-07-12 07:22:00,Account Setup,Phone,Pro,Agent_01,Low,1.5,3.11,120,False,False,4,Resolved
TCK-100156,2024-07-12 10:10:00,Billing/Invoicing,Chat,Pro,Agent_06,Medium,1.9,3.37,72,False,False,3,Resolved
TCK-102721,2024-07-12 11:21:00,Login/Authentication,Email,Pro,Agent_09,Medium,30.2,0.4,72,False,True,3,Unresolved - Pending Engineering
TCK-101309,2024-07-12 12:00:00,Data Export/Import,Email,Basic,Agent_05,Low,112.3,45.92,120,False,False,3,Resolved
TCK-100963,2024-07-12 12:47:00,Data Export/Import,Portal,Basic,Agent_01,Low,32.8,0.83,120,False,False,4,Resolved
TCK-103208,2024-07-12 15:09:00,Performance/Slowness,Phone,Basic,Agent_07,High,1.0,0.21,24,False,True,3,Resolved - Escalated
TCK-101723,2024-07-12 15:37:00,Login/Authentication,Email,Basic,Agent_05,Medium,198.6,0.72,72,False,False,4,Resolved
TCK-103170,2024-07-12 18:33:00,Billing/Invoicing,Portal,Basic,Agent_09,Medium,28.0,1.27,72,False,False,3,Resolved
TCK-101884,2024-07-13 04:43:00,Performance/Slowness,Chat,Basic,Agent_02,Medium,1.0,9.51,72,False,True,4,Unresolved - Pending Engineering
TCK-100525,2024-07-13 05:27:00,Bug/Error,Portal,Basic,Agent_11,Critical,11.8,4.52,4,True,False,3,Resolved
TCK-102600,2024-07-13 07:00:00,Account Setup,Chat,Free,Agent_11,Low,24.0,0.5,120,False,False,3,Resolved
TCK-100566,2024-07-13 12:38:00,Data Export/Import,Email,Pro,Agent_04,High,1.4,3.6,24,False,False,3,Resolved
TCK-102058,2024-07-13 17:56:00,Login/Authentication,Email,Free,Agent_08,Medium,1.0,1.14,72,False,False,3,Resolved - Workaround
TCK-101352,2024-07-13 18:35:00,Login/Authentication,Email,Free,Agent_11,Critical,4.7,1.65,4,False,False,3,Resolved
TCK-100956,2024-07-13 23:04:00,Login/Authentication,Portal,Pro,Agent_12,Medium,79.6,11.53,72,False,True,2,Resolved - Escalated
TCK-100122,2024-07-13 23:05:00,Billing/Invoicing,Email,Free,Agent_11,Low,12.4,1.37,120,False,True,3,Unresolved - Pending Engineering
TCK-102740,2024-07-14 00:06:00,Bug/Error,Chat,Basic,Agent_01,Low,25.4,3.04,120,False,False,5,Resolved
TCK-100382,2024-07-14 00:07:00,Login/Authentication,Chat,Free,Agent_08,Critical,1.0,0.1,4,False,False,4,Resolved
TCK-102335,2024-07-14 00:38:00,Integration/API,Email,Basic,Agent_09,Low,135.7,15.29,120,False,False,3,Resolved
TCK-102198,2024-07-14 03:03:00,Billing/Invoicing,Email,Basic,Agent_04,High,33.1,3.82,24,False,False,3,Resolved - Workaround
TCK-102878,2024-07-14 19:54:00,Performance/Slowness,Email,Pro,Agent_11,Medium,12.7,6.35,72,False,True,2,Resolved - Escalated
TCK-102421,2024-07-14 23:57:00,Bug/Error,Email,Pro,Agent_03,Medium,68.5,14.51,72,False,True,3,Resolved - Escalated
TCK-103915,2024-07-15 00:00:00,Login/Authentication,Email,Pro,Agent_12,Critical,32.6,20.65,4,True,True,2,Resolved - Escalated
TCK-103545,2024-07-15 00:00:00,Performance/Slowness,Email,Basic,Agent_02,Medium,2.3,6.81,72,False,False,5,Resolved
TCK-103671,2024-07-15 00:00:00,Data Export/Import,Chat,Pro,Agent_10,Low,12.4,7.9,120,False,False,4,Resolved
TCK-100428,2024-07-15 03:59:00,Bug/Error,Portal,Basic,Agent_08,Medium,22.8,22.72,72,False,False,5,Resolved
TCK-100845,2024-07-15 05:09:00,Integration/API,Email,Basic,Agent_12,Low,124.0,92.02,120,False,False,4,Resolved
TCK-101535,2024-07-15 06:21:00,Billing/Invoicing,Portal,Free,Agent_10,Medium,49.7,9.83,72,False,False,5,Resolved
TCK-102093,2024-07-15 11:25:00,Billing/Invoicing,Portal,Free,Agent_09,High,47.3,3.09,24,False,True,3,Resolved - Escalated
TCK-102891,2024-07-15 13:38:00,Billing/Invoicing,Email,Free,Agent_03,Medium,100.2,0.66,72,False,False,4,Resolved
TCK-102012,2024-07-15 15:25:00,Billing/Invoicing,Phone,Free,Agent_03,Low,2.6,2.03,120,False,False,5,Resolved
TCK-100240,2024-07-15 19:27:00,Login/Authentication,Portal,Basic,Agent_01,High,31.6,1.95,24,False,False,4,Resolved
TCK-100008,2024-07-15 19:42:00,Bug/Error,Chat,Basic,Agent_03,Medium,8.6,12.59,72,False,False,5,Resolved - Workaround
TCK-101686,2024-07-15 20:00:00,Login/Authentication,Email,Free,Agent_06,Medium,17.7,2.09,72,False,False,4,Resolved
TCK-102361,2024-07-15 20:17:00,Billing/Invoicing,Phone,Enterprise,Agent_07,Critical,1.0,1.43,4,False,False,4,Resolved
TCK-103493,2024-07-16 00:00:00,Data Export/Import,Chat,Pro,Agent_04,Critical,6.5,2.63,4,False,False,4,Resolved
TCK-103461,2024-07-16 00:00:00,Login/Authentication,Email,Pro,Agent_09,High,43.0,3.76,24,False,False,5,Resolved
TCK-103694,2024-07-16 00:00:00,Performance/Slowness,Portal,Pro,Agent_07,Critical,16.7,2.41,4,False,False,5,Resolved
TCK-103555,2024-07-16 00:00:00,Account Setup,Email,Pro,Agent_11,Low,11.2,5.23,120,False,False,5,Resolved
TCK-100212,2024-07-16 00:10:00,Billing/Invoicing,Portal,Pro,Agent_02,Medium,26.3,3.98,72,False,True,2,Resolved - Escalated
TCK-102927,2024-07-16 00:14:00,Data Export/Import,Chat,Pro,Agent_01,High,9.8,2.56,24,False,False,4,Resolved
TCK-101128,2024-07-16 00:42:00,Bug/Error,Chat,Free,Agent_01,Critical,2.0,2.15,4,False,False,4,Resolved
TCK-101357,2024-07-16 02:11:00,Account Setup,Phone,Pro,Agent_03,Low,7.9,2.11,120,False,False,4,Resolved
TCK-100230,2024-07-16 04:08:00,Billing/Invoicing,Chat,Basic,Agent_01,Medium,9.1,10.85,72,False,False,4,Resolved
TCK-101374,2024-07-16 07:10:00,Performance/Slowness,Portal,Pro,Agent_03,Medium,93.0,3.83,72,False,False,4,Resolved
TCK-102484,2024-07-16 07:40:00,Bug/Error,Phone,Free,Agent_09,High,2.7,1.11,24,False,False,5,Resolved
TCK-101995,2024-07-16 09:00:00,Integration/API,Chat,Pro,Agent_05,Low,8.2,138.48,120,True,False,4,Resolved - Workaround
TCK-100897,2024-07-16 10:45:00,Performance/Slowness,Email,Free,Agent_04,Low,96.2,19.18,120,False,True,2,Resolved - Escalated
TCK-100161,2024-07-16 14:28:00,Login/Authentication,Email,Enterprise,Agent_08,High,4.3,1.14,24,False,False,4,Resolved
TCK-102420,2024-07-16 15:33:00,Performance/Slowness,Email,Basic,Agent_03,High,17.9,4.09,24,False,False,4,Resolved
TCK-103052,2024-07-16 15:49:00,Bug/Error,Email,Basic,Agent_09,Medium,4.8,2.66,72,False,True,3,Unresolved - Pending Engineering
TCK-103091,2024-07-16 16:43:00,Bug/Error,Chat,Basic,Agent_05,High,17.7,6.39,24,False,False,4,Resolved
TCK-100435,2024-07-16 19:32:00,Bug/Error,Phone,Enterprise,Agent_03,High,1.0,2.51,24,False,False,5,Resolved
TCK-103447,2024-07-17 00:00:00,Performance/Slowness,Email,Free,Agent_12,High,3.5,8.07,24,False,True,2,Unresolved - Pending Engineering
TCK-103770,2024-07-17 00:00:00,Account Setup,Portal,Pro,Agent_08,Medium,28.5,2.44,72,False,False,5,Resolved
TCK-101887,2024-07-17 00:46:00,Login/Authentication,Portal,Free,Agent_08,Critical,15.2,0.71,4,False,True,3,Resolved - Escalated
TCK-101933,2024-07-17 03:27:00,Login/Authentication,Chat,Free,Agent_03,Low,1.2,4.94,120,False,False,4,Resolved
TCK-101090,2024-07-17 04:34:00,Data Export/Import,Portal,Pro,Agent_09,Low,97.1,5.48,120,False,False,4,Resolved
TCK-103202,2024-07-17 06:32:00,Login/Authentication,Email,Pro,Agent_08,High,1.0,1.3,24,False,False,3,Resolved - Workaround
TCK-101409,2024-07-17 06:56:00,Login/Authentication,Phone,Free,Agent_03,Medium,1.0,14.36,72,False,False,4,Resolved
TCK-101498,2024-07-17 07:27:00,Performance/Slowness,Email,Enterprise,Agent_05,High,35.1,17.73,24,False,False,4,Resolved
TCK-101061,2024-07-17 08:52:00,Feature Request,Portal,Pro,Agent_10,Medium,75.0,88.3,72,True,False,3,Resolved
TCK-103025,2024-07-17 12:17:00,Login/Authentication,Portal,Pro,Agent_01,High,11.7,4.88,24,False,False,4,Resolved
TCK-100747,2024-07-17 14:38:00,Billing/Invoicing,Chat,Basic,Agent_09,Low,19.4,10.16,120,False,False,4,Resolved
TCK-101234,2024-07-17 17:10:00,Feature Request,Chat,Free,Agent_04,Low,8.3,9.08,120,False,False,4,Resolved
TCK-101257,2024-07-17 21:39:00,Data Export/Import,Email,Basic,Agent_12,Medium,60.2,3.69,72,False,False,3,Resolved
TCK-100797,2024-07-17 22:08:00,Feature Request,Phone,Basic,Agent_08,Medium,1.6,2.46,72,False,True,3,Resolved - Escalated
TCK-103846,2024-07-18 00:00:00,Integration/API,Email,Free,Agent_06,High,34.5,0.56,24,False,True,3,Resolved - Escalated
TCK-101441,2024-07-18 03:30:00,Bug/Error,Chat,Basic,Agent_12,High,3.3,3.86,24,False,False,4,Resolved
TCK-101806,2024-07-18 05:59:00,Integration/API,Email,Pro,Agent_01,Low,47.4,8.88,120,False,False,3,Resolved
TCK-100355,2024-07-18 07:40:00,Integration/API,Email,Pro,Agent_04,Medium,13.4,11.16,72,False,False,3,Resolved
TCK-100081,2024-07-18 07:58:00,Data Export/Import,Portal,Enterprise,Agent_09,High,20.2,3.67,24,False,False,5,Resolved
TCK-102583,2024-07-18 11:00:00,Feature Request,Email,Free,Agent_07,Low,114.4,13.76,120,False,False,5,Resolved
TCK-100659,2024-07-18 13:08:00,Performance/Slowness,Phone,Free,Agent_07,Medium,1.0,5.11,72,False,True,4,Unresolved - Pending Engineering
TCK-100823,2024-07-18 17:28:00,Bug/Error,Email,Pro,Agent_12,High,45.7,8.64,24,False,False,4,Resolved
TCK-102663,2024-07-18 23:53:00,Billing/Invoicing,Phone,Free,Agent_12,Low,8.3,3.05,120,False,False,4,Resolved
TCK-103538,2024-07-19 00:00:00,Account Setup,Email,Basic,Agent_02,High,97.8,0.32,24,False,False,4,Resolved
TCK-103679,2024-07-19 00:00:00,Account Setup,Chat,Basic,Agent_03,Low,9.3,2.17,120,False,False,4,Resolved - Workaround
TCK-103848,2024-07-19 00:00:00,Bug/Error,Portal,Basic,Agent_06,High,36.5,1.87,24,False,False,5,Resolved - Workaround
TCK-103421,2024-07-19 00:00:00,Login/Authentication,Email,Pro,Agent_05,Critical,10.3,0.1,4,False,False,5,Resolved
TCK-102158,2024-07-19 01:49:00,Bug/Error,Email,Free,Agent_08,Low,15.2,10.89,120,False,False,5,Resolved
TCK-102948,2024-07-19 02:04:00,Feature Request,Phone,Basic,Agent_08,High,5.3,15.32,24,False,False,5,Resolved
TCK-101626,2024-07-19 02:37:00,Bug/Error,Chat,Basic,Agent_10,Medium,13.8,1.9,72,False,True,2,Unresolved - Pending Engineering
TCK-103147,2024-07-19 04:35:00,Data Export/Import,Chat,Enterprise,Agent_10,Medium,1.0,1.74,72,False,False,4,Resolved - Workaround
TCK-102290,2024-07-19 08:33:00,Performance/Slowness,Email,Pro,Agent_04,Medium,1.0,10.98,72,False,False,5,Resolved - Workaround
TCK-101602,2024-07-19 11:09:00,Bug/Error,Phone,Free,Agent_10,Medium,1.0,3.33,72,False,False,5,Resolved
TCK-100260,2024-07-19 13:28:00,Performance/Slowness,Email,Pro,Agent_07,High,28.0,12.35,24,False,False,4,Resolved
TCK-100860,2024-07-19 14:12:00,Data Export/Import,Chat,Enterprise,Agent_07,Medium,19.7,0.52,72,False,False,4,Resolved
TCK-100669,2024-07-19 18:02:00,Account Setup,Phone,Free,Agent_10,Low,2.3,0.48,120,False,True,2,Resolved - Escalated
TCK-102640,2024-07-19 18:07:00,Login/Authentication,Email,Enterprise,Agent_04,Critical,15.3,0.13,4,False,False,5,Resolved - Workaround
TCK-102478,2024-07-20 01:36:00,Feature Request,Portal,Enterprise,Agent_04,Medium,1.8,11.13,72,False,False,4,Resolved - Workaround
TCK-103200,2024-07-20 03:11:00,Integration/API,Portal,Free,Agent_05,Medium,192.4,68.41,72,False,False,4,Resolved
TCK-103048,2024-07-20 04:24:00,Login/Authentication,Phone,Free,Agent_08,High,1.0,3.19,24,False,False,4,Resolved
